,POM,PP,NYLON,PVC,ABS,BAKELITE,Al,Cu,STEEL,ACRYLIC
BALL,2.707090408804029,4.616958542749201,3.2065761859434536,3.36837570432722,4.810934623258956,5.389782994005617,13.949065204382148,13.509530719457922,13.782438574478485,24.76619000767329
GOLF,13.281401204136039,7.863372144718017,13.180062167353292,5.394118262999388,12.49868973725781,8.708177460871783,10.563789326508614,8.547010581634618,11.182275641588749,24.48603142468318
SPIKE,11.392345801967776,8.042100069569893,11.68658920489409,8.11443010823456,10.453102675162501,8.573762907186396,13.423596671242354,8.39773768249697,13.064043422108584,30.189300875571234
NUT,19.23996311613474,7.2561394102229455,18.98462450996352,6.01457493535013,11.264131829485388,7.307352122522005,13.906454955319806,11.799042045741794,11.563611111006267,21.173597296566175
SQUARE,21.04530026933881,7.729796420584819,22.83028541082109,5.380420428182576,14.978849042069632,6.357699071559217,11.381109089008923,4.563139414659222,7.7368030970990285,21.74537460184343
PENTAGON,24.892258740239377,8.75930770254671,25.698797616786266,8.692527410888314,13.259815270619011,10.047634975099225,13.324741392155488,11.419046794860328,13.384762305083783,20.489596453516747
HEXAGON,18.06349413770313,7.022000887813463,19.136238194995016,5.913589413997589,13.206554890109294,10.002724655230207,15.621733786905493,7.557608116705631,13.256971872419824,20.845147754062
PROPELLER,22.501153152253274,9.03010893574741,28.70673222643809,6.761558029787863,15.822909929769413,8.381779643678328,11.71609974019438,8.417872287216579,9.176532637434901,13.916580800255682
TURBINE,49.510731408630186,11.265491447733229,45.50504185530632,9.86741558364771,33.35466404637382,14.985020704702475,23.16862678093891,18.58078841217728,20.472319164931736,28.279073846482515
BUNNY,22.685080872693646,7.978850543882252,24.6729537709673,6.2356351717498395,16.752602808379223,9.365875151040152,10.678809555969675,7.4679912677158224,10.278175949860389,13.00933953314727
